id,GEO.id,GEO.display-label,countyFIPS5,county,stateFIPS,state,stateName,d1900,d1910,d1920,d1930,d1940,d1950,d1960,d1970,d1980,d1990,d2000,d2010,d2020,e1981,e1982,e1983,e1984,e1985,e1986,e1987,e1988,e1989,ebase1990,e1990,e1991,e1992,e1993,e1994,e1995,e1996,e1997,e1998,e1999,ebase2000,e2000,e2001,e2002,e2003,e2004,e2005,e2006,e2007,e2008,e2009,ebase2010,e2010,e2011,e2012,e2013,e2014,e2015,e2016,e2017,e2018,e2019,ebase2020,e2020,e2021,e2022,e2023,e2024,areaLand,areaWater,areaTotal
790,0500000US19001,"Adair County, Iowa",19001,Adair,19,IA,Iowa,16192,14420,14259,13891,13196,12292,10893,9487,9509,8409,8243,7682,7496,9396,9258,9210,9147,8935,8700,8550,8509,8431,8409,8391,8401,8388,8406,8281,8244,8218,8144,8116,8087,8252,8223,8132,8059,8050,8019,7932,7924,7871,7747,7676,7682,7679,7546,7468,7387,7368,7145,7005,7051,7074,7152,7493,7489,7522,7457,7399,7431,1474404201,2597996,1477002197
791,0500000US19003,"Adams County, Iowa",19003,Adams,19,IA,Iowa,13601,10998,10521,10437,10156,8753,7468,6322,5731,4866,4482,4029,3704,5631,5556,5494,5423,5307,5199,5217,5095,4987,4866,4841,4731,4656,4590,4559,4509,4452,4409,4387,4379,4479,4476,4402,4370,4365,4307,4226,4224,4195,4151,4047,4029,4023,3994,3910,3891,3877,3754,3692,3657,3644,3602,3708,3710,3641,3602,3553,3606,1096686255,5367875,1102054130
792,0500000US19005,"Allamakee County, Iowa",19005,Allamakee,19,IA,Iowa,18711,17328,17285,16328,17184,16351,15982,14968,15108,13855,14675,14330,14061,14988,14870,14889,14829,14640,14384,14160,14162,14066,13855,13820,13915,13976,14017,13969,14134,14053,14007,14061,14035,14687,14674,14333,14289,14345,14324,14371,14378,14335,14325,14263,14328,14378,14222,14149,14071,14062,13874,13851,13803,13852,13687,14061,14069,13965,14072,14168,14184,1655186555,51091699,1706278254
793,0500000US19007,"Appanoose County, Iowa",19007,Appanoose,19,IA,Iowa,25927,28701,30535,24835,24245,19683,16015,15007,15511,13743,13721,12887,12317,15362,15157,14864,14640,14388,14150,14116,13960,13818,13743,13738,13738,13810,13823,13623,13596,13601,13503,13563,13488,13715,13696,13578,13420,13522,13462,13453,13319,13105,12950,12896,12887,12856,12848,12707,12654,12671,12577,12505,12353,12401,12426,12311,12283,12269,12135,12129,12106,1287997902,49093607,1337091509
794,0500000US19009,"Audubon County, Iowa",19009,Audubon,19,IA,Iowa,13626,12671,12520,12264,11790,11579,10919,9595,8559,7334,6830,6119,5674,8467,8356,8243,8312,8095,7848,7605,7509,7404,7334,7332,7235,7113,6998,6940,6890,6845,6829,6794,6786,6826,6804,6664,6572,6479,6430,6324,6265,6222,6200,6136,6119,6098,6004,5865,5863,5771,5711,5626,5550,5471,5496,5673,5680,5645,5573,5533,5562,1147264573,1152260,1148416833
795,0500000US19011,"Benton County, Iowa",19011,Benton,19,IA,Iowa,25177,23156,24080,22851,22879,22656,23422,22885,23649,22429,25308,26076,25575,23603,23301,22905,22822,22515,22345,22214,22294,22439,22429,22442,22609,22863,23446,23848,24335,24700,24981,25435,25912,25312,25326,25532,25829,25946,26181,26265,26137,26066,26097,26117,26069,26046,26078,25830,25699,25623,25608,25644,25656,25625,25645,25584,25550,25745,25756,25769,25799,1854696288,5857896,1860554184
796,0500000US19013,"Black Hawk County, Iowa",19013,Black Hawk,19,IA,Iowa,32399,44865,56570,69146,79946,100448,122482,132916,137961,123798,128012,131090,131144,137897,136836,135579,133873,130073,126207,123818,122448,123256,123798,123952,124577,124295,124301,123660,122647,122285,121379,121033,120287,127990,128019,127765,126876,126491,126682,127021,127486,127756,129203,130595,131086,131162,131584,131878,132933,133390,133701,133077,132238,131723,131228,131142,131049,130587,130081,131179,132348,1465303204,17928724,1483231928
797,0500000US19015,"Boone County, Iowa",19015,Boone,19,IA,Iowa,28200,27626,29892,29271,29782,28139,28037,26470,26184,25186,26224,26306,26715,26276,26058,25897,25709,25509,25316,25154,25175,25109,25186,25205,25361,25305,25199,25248,25565,25873,26178,26106,26364,26206,26251,26249,26086,26232,26372,26500,26471,26553,26454,26360,26308,26271,26288,26136,26284,26290,26443,26416,26443,26312,26234,26712,26702,26770,26570,26567,26729,1477553326,8143073,1485696399
798,0500000US19017,"Bremer County, Iowa",19017,Bremer,19,IA,Iowa,16305,15843,16728,17046,17932,18884,21108,22737,24820,22813,23325,24276,24988,24782,24661,24533,24199,23712,23226,22712,22516,22706,22813,22854,22932,23040,23160,23103,23189,23308,23301,23333,23411,23361,23312,23506,23386,23549,23728,23833,24054,24237,24162,24183,24280,24295,24381,24496,24579,24670,24746,24747,24823,24941,25062,24985,25007,25119,25260,25304,25328,1127886260,10165785,1138052045
799,0500000US19019,"Buchanan County, Iowa",19019,Buchanan,19,IA,Iowa,21427,19748,19890,19550,20991,21927,22293,21746,22900,20844,21093,20958,20565,23032,22976,22739,22253,21810,21079,20786,20761,20890,20844,20845,20916,20977,21127,21278,21200,21197,21166,21182,21264,21092,21064,20952,20796,20822,20910,20831,20957,21069,21154,21016,20953,20974,20911,20994,21026,21131,21105,21007,21126,21178,21175,20563,20606,20707,20700,20725,20733,1479086714,5223045,1484309759
800,0500000US19021,"Buena Vista County, Iowa",19021,Buena Vista,19,IA,Iowa,16975,15981,18556,18667,19838,21113,21189,20693,20774,19965,20411,20260,20823,20890,20854,20749,20927,20572,20406,20102,20166,20053,19965,19965,19942,20056,20223,20037,19933,19833,19651,19427,19521,20415,20361,20241,20233,20141,20000,19970,19909,19798,19855,20004,20265,20356,20311,20561,20649,20606,20374,20325,20144,19826,19620,20826,20808,20794,20651,20698,20816,1488981868,13798140,1502780008
801,0500000US19023,"Butler County, Iowa",19023,Butler,19,IA,Iowa,17955,17119,17845,17617,17986,17394,17467,16953,17668,15731,15305,14867,14334,17573,17431,17254,17101,16782,16324,15988,15967,15826,15731,15721,15826,15777,15676,15707,15732,15720,15721,15655,15564,15307,15299,15065,14926,14939,14985,14965,14931,14961,14957,14699,14869,14916,14966,14971,14975,14959,14881,14702,14592,14525,14439,14336,14334,14351,14275,14225,14156,1502550829,4194983,1506745812
802,0500000US19025,"Calhoun County, Iowa",19025,Calhoun,19,IA,Iowa,18569,17090,17783,17605,17584,16925,15923,14287,13542,11508,11115,9670,9927,13385,13243,13015,12758,12345,11953,11761,11633,11598,11508,11504,11510,11526,11511,11673,11526,11489,11450,11379,11282,11114,11088,10918,10683,10488,10382,10228,10093,9947,9845,9684,10177,10160,10064,9913,9898,9845,9801,9811,9729,9711,9668,9926,9895,9894,9725,9790,9711,1475894578,5873827,1481768405
803,0500000US19027,"Carroll County, Iowa",19027,Carroll,19,IA,Iowa,20319,20117,21549,22326,22770,23065,23431,22912,22951,21423,21421,20816,20760,22964,22665,22638,22642,22433,22097,21772,21729,21501,21423,21412,21414,21457,21596,21475,21590,21578,21621,21608,21525,21433,21382,21225,21159,21024,20936,20973,20832,20869,20742,20743,20816,20824,20860,20654,20541,20499,20423,20388,20274,20153,20165,20766,20734,20754,20565,20512,20407,1474877207,2145349,1477022556
804,0500000US19029,"Cass County, Iowa",19029,Cass,19,IA,Iowa,21274,19047,19421,19422,18647,18532,17919,17007,16932,15128,14684,13956,13127,17060,16918,16882,16876,16367,15840,15415,15328,15225,15128,15105,15037,15011,15025,15083,14939,14881,14744,14634,14472,14689,14675,14488,14242,14275,14142,14002,14021,13988,13935,13949,13952,13928,13765,13700,13572,13395,13351,13176,13144,12948,12836,13126,13115,13085,13125,13131,13024,1461422457,1787165,1463209622
