State,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Alabama,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,4447100,4779736,5024279
Alaska,55037,59278,72524,128643,226167,300382,401851,550043,626932,710231,733391
Arizona,334162,435573,499261,749587,1302161,1770904,2718215,3665228,5130632,6392017,7151502
Arkansas,1752204,1854482,1949387,1909511,1786272,1923295,2286435,2350725,2673400,2915918,3011524
California,3426861,5677251,6907387,10586223,15717204,19953134,23667902,29760021,33871648,37253956,39538223
Colorado,939629,1031583,1123296,1325089,1753947,2207259,2889964,3294394,4301261,5029196,5773714
Connecticut,1380631,1606903,1709242,2007280,2535234,3031709,3107576,3287116,3405565,3574097,3605944
Delaware,223003,238380,266505,318085,446292,548104,594338,666168,783600,897934,989948
Florida,968470,1468211,1897414,2771305,4491766,6789443,9746324,12937926,15982378,18801310,21538187
Georgia,2895832,2908506,3123723,3444578,3943116,4589575,5463105,6478216,8186453,9687653,10711908
Hawaii,255881,368300,422770,499794,632772,769913,964691,1108229,1211537,1360301,1455271
Idaho,431866,445032,524873,588637,667191,713015,943935,1006749,1293953,1567582,1839106
Illinois,6485286,7630654,7897241,8712176,10081158,11113976,11426518,11430602,12419293,12830632,12671821
Indiana,2930390,3238503,3427796,3934229,4662498,5193669,5490224,5544159,6080485,6483802,6785528
Iowa,2404021,2475816,2538268,2621073,2757535,2824376,2913808,2776755,2926324,3046355,3190369
Kansas,1467074,1525345,1645247,1689219,1770950,2178611,2363679,2477574,2688418,2853118,2937880
Kentucky,2289905,2471257,2642364,2976006,3038156,3218706,3660777,3685296,4041769,4339367,4505836
Louisiana,1823895,2101033,2321245,2683516,3262306,3641306,4204825,4219973,4468976,4533372,4657757
Maine,768014,797423,847226,913774,969265,992048,1124660,1227928,1274923,1328361,1362359
Maryland,1449661,1639368,1822060,2343001,3100689,3922399,4219433,4781468,5296486,5773552,6177224
Massachusetts,3483663,4249614,4316721,4690514,5148578,5689170,5737037,6016425,6349097,6547629,7029917
Michigan,3668412,4842325,5256106,6371766,7823194,8875083,9262078,9295297,9938444,9883640,10077331
Minnesota,2387139,2563953,2792300,2982483,3413864,3804971,4075970,4375099,4919479,5303925,5706494
Mississippi,1792771,2045655,2183796,2345097,2616597,2573216,2917270,2573216,2844658,2967297,2961279
Missouri,3425183,3633974,3784662,3954653,4319813,4676500,4916686,5117073,5595211,5988927,6154913
Montana,548889,537606,559456,591024,674767,694409,786690,799065,902195,989415,1084225
Nebraska,1283933,1377963,1315834,1324510,1411330,1469823,1569825,1578385,1711263,1826341,1961504
Nevada,77707,91058,110247,160083,285278,488738,800493,1201833,1998257,2700551,3104614
New Hampshire,443083,465293,491524,533242,606921,737681,920610,1109252,1235786,1316470,1377529
New Jersey,3155900,4041339,4160165,4835329,6066782,7178910,7364823,7730188,8414350,8791894,9288994
New Mexico,360350,423317,531818,681187,951023,1018100,1302894,1515069,1819046,2059179,2117522
New York,10385227,12588066,13479142,14830192,16782329,18087112,17558072,17990455,18976457,19378102,20201249
North Carolina,2559123,3170276,3413863,4061929,4649677,5082059,5881766,6628637,8049313,9535483,10439388
North Dakota,646872,680845,641935,619636,632446,617761,652717,638800,642200,672591,779094
Ohio,5759394,6646697,6907612,7971624,9706397,10657803,10797634,10847115,11353140,11536504,11799448
Oklahoma,2028283,2371434,2337583,2233351,2662796,2559229,3025290,3145585,3450654,3751351,3959353
Oregon,783389,953786,1089684,1521341,1768687,2090325,2639699,2842321,3421399,3831074,4237256
Pennsylvania,8726550,9632190,9900180,10498012,11319366,11881643,11881643,12281054,12702379,12702379,13002700
Rhode Island,604397,687497,713346,791896,859488,946725,949723,1003464,1048319,1052567,1097379
South Carolina,1683724,1727689,1899804,2120914,2382594,2590516,3121820,3486703,4012012,4625364,5118425
South Dakota,636547,692849,642961,652740,680514,665507,690768,696004,754844,814180,886667
Tennessee,2337883,2916298,2916552,3450610,3981951,4480034,4877185,4877185,5689283,6346105,6910840
Texas,4663228,5824715,6414824,7711194,9579677,11196730,14229191,16986510,20851820,25145561,29145505
Utah,449396,507847,550310,688862,890627,1059273,1461037,1722850,2233169,2763885,3271616
Vermont,352428,359611,377747,377747,389881,444330,511456,562758,608827,625741,643077
Virginia,2309187,2566048,2677773,3318680,4040500,4648494,5346818,6187358,7078515,8001024,8631393
Washington,1131120,1520611,1736191,2378962,2853214,3409169,4132156,4866692,5894121,6724540,7693612
West Virginia,1463693,1777037,1917444,2005552,1860421,1744614,1965126,1793477,1808344,1852994,1793716
Wisconsin,2632357,2934171,3137583,3430542,3957225,4417731,4690767,4891769,5363675,5686986,5893718
Wyoming,194402,225565,250742,290529,330066,332416,469557,453588,493782,563626,576851
Puerto Rico,1163000,1497000,1807000,2262000,2358000,2717000,3159000,3493000,3800000,3726000,3286000
